method,gt_type,n_intervals,n_same_type_detected,n_any_detected,n_none_detected,n_only_ambiguous,n_other_type_detected,n_clipped_intervals,mean_n_detected_total,mean_n_detected_phasic,mean_n_detected_tonic,mean_n_detected_ambiguous,same_type_rate,any_detection_rate
rms,phasic,12583,9698,12453,130,2140,615,0,2.698,1.965,0.163,0.571,0.770722,0.989669
rms,tonic,37,17,37,0,1,19,0,5.622,3.919,0.622,1.081,0.459459,1.0
tkeo,phasic,12583,7773,12338,245,3597,968,0,1.954,1.097,0.211,0.647,0.617738,0.980529
tkeo,tonic,37,26,37,0,5,6,0,3.432,1.405,1.054,0.973,0.702703,1.0
