subject,interval_id,method,gt_type,csv_onset_s,csv_end_s,csv_duration_s,annot_start_used,pt_onset_s,pt_end_s,analysis_start_s_pt,analysis_end_s_pt,analysis_duration_s,was_clipped,is_empty,n_detected_total,n_detected_phasic,n_detected_tonic,n_detected_ambiguous,detected_types,status,same_type_detected,any_detected,none_detected,only_ambiguous,other_type_detected
rbd3,71,tkeo,phasic,2922.0,2934.0,12.0,0.0,2922.0,2934.0,2922.0,2934.0,12.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,72,rms,phasic,2958.0,2973.0,15.0,0.0,2958.0,2973.0,2958.0,2973.0,15.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,72,tkeo,phasic,2958.0,2973.0,15.0,0.0,2958.0,2973.0,2958.0,2973.0,15.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,73,rms,tonic,3135.0,3204.0,69.0,0.0,3135.0,3204.0,3135.0,3204.0,69.0,False,False,8,6,0,2,any|phasic,other_type_detected,False,True,False,False,True
rbd3,73,tkeo,tonic,3135.0,3204.0,69.0,0.0,3135.0,3204.0,3135.0,3204.0,69.0,False,False,5,2,1,2,any|phasic|tonic,same_type_detected,True,True,False,False,False
rbd3,74,rms,phasic,3135.0,3147.0,12.0,0.0,3135.0,3147.0,3135.0,3147.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,74,tkeo,phasic,3135.0,3147.0,12.0,0.0,3135.0,3147.0,3135.0,3147.0,12.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,75,rms,phasic,3150.0,3159.0,9.0,0.0,3150.0,3159.0,3150.0,3159.0,9.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,75,tkeo,phasic,3150.0,3159.0,9.0,0.0,3150.0,3159.0,3150.0,3159.0,9.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,76,rms,phasic,3162.0,3183.0,21.0,0.0,3162.0,3183.0,3162.0,3183.0,21.0,False,False,4,3,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,76,tkeo,phasic,3162.0,3183.0,21.0,0.0,3162.0,3183.0,3162.0,3183.0,21.0,False,False,2,0,0,2,any,only_ambiguous,False,True,False,True,False
rbd3,77,rms,phasic,3186.0,3201.0,15.0,0.0,3186.0,3201.0,3186.0,3201.0,15.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,77,tkeo,phasic,3186.0,3201.0,15.0,0.0,3186.0,3201.0,3186.0,3201.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
rbd3,78,rms,phasic,3243.0,3273.0,30.0,0.0,3243.0,3273.0,3243.0,3273.0,30.0,False,False,4,3,0,1,any|phasic,same_type_detected,True,True,False,False,False
rbd3,78,tkeo,phasic,3243.0,3273.0,30.0,0.0,3243.0,3273.0,3243.0,3273.0,30.0,False,False,2,0,0,2,any,only_ambiguous,False,True,False,True,False
rbd3,79,rms,phasic,3282.0,3300.0,18.0,0.0,3282.0,3300.0,3282.0,3300.0,18.0,False,False,3,3,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,79,tkeo,phasic,3282.0,3300.0,18.0,0.0,3282.0,3300.0,3282.0,3300.0,18.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,80,rms,phasic,3303.0,3318.0,15.0,0.0,3303.0,3318.0,3303.0,3318.0,15.0,False,False,2,2,0,0,phasic,same_type_detected,True,True,False,False,False
rbd3,80,tkeo,phasic,3303.0,3318.0,15.0,0.0,3303.0,3318.0,3303.0,3318.0,15.0,False,False,1,0,0,1,any,only_ambiguous,False,True,False,True,False
